,eventmsgtype,period,pctimestring,homedescription,neutraldescription,visitordescription,score,scoremargin,player1_name,player1_team_abbreviation,player2_name,player2_team_abbreviation,player3_name,player3_team_abbreviation
23,PF,1,8:25,,,Washington P.FOUL (P2.T4) (J.Capers),,,P.J. Washington,DAL,Jalen Williams,OKC,,
24,SUB,1,8:25,,,SUB: Lively II FOR Gafford,,,Daniel Gafford,DAL,Dereck Lively II,DAL,,
25,SUB,1,8:25,,,SUB: Green FOR Washington,,,P.J. Washington,DAL,Josh Green,DAL,,
26,3FG_MISS,1,8:18,MISS Joe 26' 3PT Jump Shot,,,,,Isaiah Joe,OKC,,,,
27,REB,1,8:15,,,Mavericks Rebound,,,,,,,,
28,2FG_AST,1,7:59,,,Jones Jr. 6' Floating Jump Shot (5 PTS) (Irving 1 AST),9 - 8,-1,Derrick Jones Jr.,DAL,Kyrie Irving,DAL,,
29,2FG_MISS,1,7:48,MISS Joe 15' Pullup Jump Shot,,,,,Isaiah Joe,OKC,,,,
30,REB,1,7:45,,,Doncic REBOUND (Off:0 Def:2),,,Luka Doncic,DAL,,,,
31,2FG_AST,1,7:38,,,Doncic 21' Pullup Jump Shot (4 PTS) (Green 1 AST),11 - 8,-3,Luka Doncic,DAL,Josh Green,DAL,,
32,2FG_MISS,1,7:19,MISS Gilgeous-Alexander 8' Floating Jump Shot,,,,,Shai Gilgeous-Alexander,OKC,,,,
33,REB,1,7:17,Dort REBOUND (Off:1 Def:0),,,,,Luguentz Dort,OKC,,,,
34,TO,1,7:15,Gilgeous-Alexander Traveling Turnover (P2.T2),,,,,Shai Gilgeous-Alexander,OKC,,,,
35,TO,1,7:04,,,Doncic Out of Bounds - Bad Pass Turnover Turnover (P1.T1),,,Luka Doncic,DAL,,,,
36,2FG,1,6:46,Jal. Williams 14' Pullup Jump Shot (2 PTS),,,11 - 10,-1,Jalen Williams,OKC,,,,
37,3FG_AST,1,6:28,,,Jones Jr. 25' 3PT Jump Shot (8 PTS) (Doncic 2 AST),14 - 10,-4,Derrick Jones Jr.,DAL,Luka Doncic,DAL,,
38,3FG_AST,1,6:09,Dort 25' 3PT Jump Shot (3 PTS) (Gilgeous-Alexander 3 AST),,,14 - 13,-1,Luguentz Dort,OKC,Shai Gilgeous-Alexander,OKC,,
39,PF,1,5:56,Joe P.FOUL (P2.T2) (J.Capers),,,,,Isaiah Joe,OKC,Josh Green,DAL,,
40,SUB,1,5:56,SUB: Jay. Williams FOR Holmgren,,,,,Chet Holmgren,OKC,Jaylin Williams,OKC,,
41,SUB,1,5:56,SUB: Wiggins FOR Joe,,,,,Isaiah Joe,OKC,Aaron Wiggins,OKC,,
42,3FG,1,5:43,,,Doncic 27' 3PT Step Back Jump Shot (7 PTS),17 - 13,-4,Luka Doncic,DAL,,,,
43,3FG_MISS,1,5:17,MISS Jay. Williams 3PT Jump Shot,,,,,Jaylin Williams,OKC,,,,
44,REB,1,5:13,,,Doncic REBOUND (Off:0 Def:3),,,Luka Doncic,DAL,,,,
45,3FG_MISS,1,5:08,,,MISS Green 3PT Running Jump Shot,,,Josh Green,DAL,,,,
46,REB,1,5:05,,,Lively II REBOUND (Off:1 Def:0),,,Dereck Lively II,DAL,,,,
47,PF,1,5:00,Gilgeous-Alexander P.FOUL (P1.T3) (K.Scott),,,,,Shai Gilgeous-Alexander,OKC,Luka Doncic,DAL,,
48,SUB,1,5:00,,,SUB: Hardy FOR Irving,,,Kyrie Irving,DAL,Jaden Hardy,DAL,,
49,3FG_MISS,1,4:51,,,MISS Doncic 26' 3PT Jump Shot,,,Luka Doncic,DAL,,,,
50,REB,1,4:46,,,Lively II REBOUND (Off:2 Def:0),,,Dereck Lively II,DAL,,,,
51,STL_TO,1,4:44,Jal. Williams STEAL (1 STL),,Lively II Lost Ball Turnover (P1.T2),,,Dereck Lively II,DAL,Jalen Williams,OKC,,
52,2FG_AST,1,4:43,Dort Running Dunk (5 PTS) (Jal. Williams 1 AST),,,17 - 15,-2,Luguentz Dort,OKC,Jalen Williams,OKC,,
53,PF,1,4:26,Jal. Williams S.FOUL (P1.T4) (J.Capers),,,,,Jalen Williams,OKC,Luka Doncic,DAL,,
54,FT_MAKE,1,4:26,,,Doncic Free Throw 1 of 2 (8 PTS),18 - 15,-3,Luka Doncic,DAL,,,,
55,FT_MISS,1,4:26,,,MISS Doncic Free Throw 2 of 2,,,Luka Doncic,DAL,,,,
56,SUB,1,4:26,SUB: Giddey FOR Jal. Williams,,,,,Jalen Williams,OKC,Josh Giddey,OKC,,
57,SUB,1,4:26,,,SUB: Gafford FOR Lively II,,,Dereck Lively II,DAL,Daniel Gafford,DAL,,
58,REB,1,4:24,Wiggins REBOUND (Off:0 Def:1),,,,,Aaron Wiggins,OKC,,,,
59,2FG_MISS,1,4:09,MISS Gilgeous-Alexander 9' Turnaround Jump Shot,,,,,Shai Gilgeous-Alexander,OKC,,,,
60,REB,1,4:07,,,Gafford REBOUND (Off:0 Def:1),,,Daniel Gafford,DAL,,,,
61,2FG,1,3:58,,,Hardy 8' Driving Floating Jump Shot (2 PTS),20 - 15,-5,Jaden Hardy,DAL,,,,
62,2FG_AST,1,3:39,Giddey 4' Floating Jump Shot (2 PTS) (Dort 1 AST),,,20 - 17,-3,Josh Giddey,OKC,Luguentz Dort,OKC,,
63,3FG_MISS,1,3:22,,,MISS Hardy 3PT Jump Shot,,,Jaden Hardy,DAL,,,,
64,REB,1,3:19,Giddey REBOUND (Off:0 Def:1),,,,,Josh Giddey,OKC,,,,
65,3FG_MISS,1,3:10,MISS Dort 26' 3PT Jump Shot,,,,,Luguentz Dort,OKC,,,,
66,REB,1,3:08,Wiggins REBOUND (Off:1 Def:1),,,,,Aaron Wiggins,OKC,,,,
67,STL_TO,1,3:04,Wiggins Bad Pass Turnover (P1.T3),,Green STEAL (1 STL),,,Aaron Wiggins,OKC,Josh Green,DAL,,
68,2FG_AST,1,2:59,,,Jones Jr. 1' Running Alley Oop Dunk Shot (10 PTS) (Doncic 3 AST),22 - 17,-5,Derrick Jones Jr.,DAL,Luka Doncic,DAL,,
69,3FG_MISS,1,2:37,MISS Dort 25' 3PT Pullup Jump Shot,,,,,Luguentz Dort,OKC,,,,
70,REB,1,2:33,Giddey REBOUND (Off:1 Def:1),,,,,Josh Giddey,OKC,,,,
71,3FG_AST,1,2:32,Jay. Williams 25' 3PT Jump Shot (3 PTS) (Giddey 1 AST),,,22 - 20,-2,Jaylin Williams,OKC,Josh Giddey,OKC,,
72,SUB,1,2:31,SUB: Holmgren FOR Dort,,,,,Luguentz Dort,OKC,Chet Holmgren,OKC,,
73,SUB,1,2:31,SUB: Wallace FOR Jay. Williams,,,,,Jaylin Williams,OKC,Cason Wallace,OKC,,
74,SUB,1,2:31,,,SUB: Hardaway Jr. FOR Jones Jr.,,,Derrick Jones Jr.,DAL,Tim Hardaway Jr.,DAL,,
75,SUB,1,2:31,,,SUB: Irving FOR Doncic,,,Luka Doncic,DAL,Kyrie Irving,DAL,,
76,2FG_MISS,1,2:15,,,MISS Irving 8' Driving Floating Jump Shot,,,Kyrie Irving,DAL,,,,
77,REB,1,2:13,Holmgren REBOUND (Off:0 Def:2),,,,,Chet Holmgren,OKC,,,,
